"rho_X","model","RMSE","R2"
0.6,"lm",1.08511448784333,0.294971944016732
0.8,"lm",1.02121912730579,0.392191574520544
1,"lm",0.934034319773713,0.492507725218051
0.6,"xgboost",1.16531806794107,0.190148769502799
0.8,"xgboost",1.09727058382279,0.304555980935006
1,"xgboost",1.00078386230231,0.415522620091588
