"model","score_type","RMSE","R2"
"lm","all",1.07669667386109,0.258249505524927
"xgboost","all",1.16294984321137,0.135110352028849
"lm","factor",1.07357926009178,0.262603382196658
"xgboost","factor",1.17395230473156,0.117505069168414
"lm","items",1.07669667386109,0.258249505524927
"xgboost","items",1.15337422683769,0.14954953667994
"lm","sum",1.07499284705218,0.260674345733868
"xgboost","sum",1.14029154826147,0.167036326452817
